Almond Buttermilk (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Nutritional values per 100g/ml;100;g;;95.7;3.6;14.0;4.8;4.6;0.2;;;;;
Nutritional values per ½ Deluxe Tub;360;g;;344.4;13.1;50.3;17.4;16.5;0.7;;;;;
Nutritional values total;720;g;;688.7;26.2;100.6;34.8;33.1;1.4;;;;;
;;;;;;;;;;;;;;
FPDF / PAC (target 20..30);31.04;;;;;;;;;;;;;
"Protein / Energy Ratio (ok=12%; hi=20%)";19.20%;;;;;;Low-Sugar;;;;;;;
ℹ️ Milk Solids Non-Fat (MSNF, 7-11%);56.1;g;;7.8%;;;;;;;;;;
ℹ️ Net carbs;44.5;g;;*∝ 5 servings@144g:* 8.9g;;;*∝ 3 servings@240g:* 14.8g;;;*energy ratio (low <20%):* 25.8%;;;;
"Ice cream based on almond butter and Amaretto as the main flavor component, adding buttermilk and unsweetened soy milk (to keep sugar lower).
An emulsifier is used to properly integrate the nut butter.

Processed on *Lite Ice Cream*, with scrape-down and a respin.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"After 2 hours of freezing for firmer consistency — still on the soft side, but this will firm up further overnight.

Rating: 😋😋😋😋😋 ";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"*Final version from Sat 2025-06-07 (after lite ice cream & mix-in, and scooped).*

> *Served with a topping of black sesame in a creamy pomegranate sauce.*

Added 2g GMS (emulsifier) and dissolved that, the SMP and the almond butter in heated soy milk. That improved texture a lot, and it needed only one Sorbet spin, no respins.

> *Served with molasses and almond slivers, directly after processing.*";;;;;;;;;;;;;;
"1. Microwave the soy milk and almond butter to 70°C.
 1. Mix SMP and GMS and blend it into the hot milk.
 1. Add the rest of the ‘wet’ ingredients.";;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
